Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene names  (ORF )	Gene names  (primary )	Gene names  (ordered locus )	Gene names  (synonym )
Q03976	RT24_YEAST	reviewed	37S ribosomal protein S24, mitochondrial (Mitochondrial ribosomal small subunit protein 24) (Mitochondrial small ribosomal subunit protein mS35)	RSM24 YDR175C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	319		RSM24	YDR175C	
P38165	RTG3_YEAST	reviewed	Retrograde regulation protein 3	RTG3 YBL103C YBL0810	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	486	YBL0810	RTG3	YBL103C	
P40486	SHQ1_YEAST	reviewed	Protein SHQ1 (Small nucleolar RNAs of the box H/ACA family quantitative accumulation protein 1)	SHQ1 YIL104C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	507		SHQ1	YIL104C	
P17883	SKI3_YEAST	reviewed	Superkiller protein 3	SKI3 YPR189W P9677.7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1432	P9677.7	SKI3	YPR189W	
P40342	SWM2_YEAST	reviewed	Nucleolar protein SWM2 (Synthetic With MUD2-delta protein 2)	SWM2 YNR004W N2033	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	146	N2033	SWM2	YNR004W	
P32597	STH1_YEAST	reviewed	Nuclear protein STH1/NPS1 (EC 3.6.4.12) (ATP-dependent helicase STH1) (Chromatin structure-remodeling complex protein STH1) (SNF2 homolog)	STH1 NPS1 YIL126W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1359		STH1	YIL126W	NPS1
Q07395	SYO1_YEAST	reviewed	Synchronized import protein 1 (Symportin 1)	SYO1 YDL063C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	620		SYO1	YDL063C	
P15624	SYFB_YEAST	reviewed	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)	FRS1 YLR060W L2165	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	595	L2165	FRS1	YLR060W	
P36101	TCD2_YEAST	reviewed	tRNA threonylcarbamoyladenosine dehydratase 2 (EC 6.1.-.-) (t(6)A37 dehydratase 2)	TCD2 YKL027W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	447		TCD2	YKL027W	
P53851	TEX1_YEAST	reviewed	Protein TEX1 (Trex component 1)	TEX1 YNL253W N0860	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	422	N0860	TEX1	YNL253W	
P07806	SYV_YEAST	reviewed	Valine--tRNA ligase, mitochondrial (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS)	VAS1 YGR094W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1104		VAS1	YGR094W	
P38114	TBS1_YEAST	reviewed	Uncharacterized transcriptional regulatory protein TBS1 (Thiabendazole sensitive protein 1)	TBS1 YBR150C YBR1133	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1094	YBR1133	TBS1	YBR150C	
P12612	TCPA_YEAST	reviewed	T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha)	TCP1 CCT1 YDR212W YD8142.13 YD8142B.04	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559	YD8142.13 YD8142B.04	TCP1	YDR212W	CCT1
P32774	T2AG_YEAST	reviewed	Transcription initiation factor IIA subunit 2 (General transcription factor IIA subunit 2) (TFIIA 13.5 kDa subunit) (Transcription initiation factor IIA small chain) (Transcription initiation factor IIA small subunit)	TOA2 YKL058W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	122		TOA2	YKL058W	
Q12308	TFC8_YEAST	reviewed	Transcription factor tau 60 kDa subunit (TFIIIC 60 kDa subunit) (Transcription factor C subunit 8)	TFC8 YPL007C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	588		TFC8	YPL007C	
P53230	TAM41_YEAST	reviewed	Phosphatidate cytidylyltransferase, mitochondrial (EC 2.7.7.41) (CDP-diacylglycerol synthase) (CDP-DAG synthase) (Mitochondrial import protein MMP37) (Mitochondrial matrix protein of 37 kDa) (Mitochondrial translocator assembly and maintenance protein 41)	TAM41 MMP37 YGR046W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	385		TAM41	YGR046W	MMP37
P29055	TF2B_YEAST	reviewed	Transcription initiation factor IIB (General transcription factor TFIIB) (Transcription factor E)	SUA7 YPR086W P9513.4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	345	P9513.4	SUA7	YPR086W	
P32776	TFB1_YEAST	reviewed	General transcription and DNA repair factor IIH subunit TFB1 (TFIIH subunit TFB1) (RNA polymerase II transcription factor B 73 kDa subunit) (RNA polymerase II transcription factor B p73 subunit) (RNA polymerase II transcription factor B subunit 1)	TFB1 YDR311W D9740.3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	642	D9740.3	TFB1	YDR311W	
Q07471	THI3_YEAST	reviewed	Thiamine metabolism regulatory protein THI3 (EC 4.1.1.72) (Keto isocaproate decarboxylase 1) (Thiamine pyrophosphate-dependent 2-oxo-acid decarboxylase) (2ODC)	THI3 KID1 YDL080C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	609		THI3	YDL080C	KID1
O74700	TIM9_YEAST	reviewed	Mitochondrial import inner membrane translocase subunit TIM9	TIM9 YEL020W-A YEL020BW	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	87	YEL020BW	TIM9	YEL020W-A	
Q00764	TPS1_YEAST	reviewed	Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 56 kDa subunit (EC 2.4.1.15) (General glucose sensor subunit 1) (Glycogen metabolism control protein GLC6) (Trehalose synthase complex catalytic subunit TPS1) (Trehalose-6-phosphate synthase) (UDP-glucose-glucosephosphate glucosyltransferase)	TPS1 BYP1 CIF1 FDP1 GGS1 GLC6 TSS1 YBR126C YBR0922	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	495	YBR0922	TPS1	YBR126C	BYP1 CIF1 FDP1 GGS1 GLC6 TSS1
P53507	TOM7_YEAST	reviewed	Mitochondrial import receptor subunit TOM7 (Translocase of outer membrane 7 kDa subunit)	TOM7 MOM7 YNL070W N2378	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	60	N2378	TOM7	YNL070W	MOM7
Q02159	UBC7_YEAST	reviewed	Ubiquitin-conjugating enzyme E2 7 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 7) (Ubiquitin carrier protein) (Ubiquitin-conjugating enzyme E2-18 kDa) (Ubiquitin-protein ligase)	UBC7 QRI8 YMR022W YM9711.12	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	165	YM9711.12	UBC7	YMR022W	QRI8
Q99344	UBA3_YEAST	reviewed	NEDD8-activating enzyme E1 catalytic subunit (EC 6.2.1.-) (RUB1-activating enzyme E1) (Ubiquitin-activating enzyme E1 3) (Ubiquitin-like protein-activating enzyme)	UBA3 YPR066W YP9499.21	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	299	YP9499.21	UBA3	YPR066W	
P46983	ATG36_YEAST	reviewed	Autophagy-related protein 36	ATG36 YJL185C J0415	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	293	J0415	ATG36	YJL185C	
P38328	ARPC1_YEAST	reviewed	Actin-related protein 2/3 complex subunit 1 (Arp2/3 complex 41 kDa subunit) (p41-ARC)	ARC40 YBR234C YBR1532	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	384	YBR1532	ARC40	YBR234C	
P38110	ATM_YEAST	reviewed	Serine/threonine-protein kinase TEL1 (EC 2.7.11.1) (ATM homolog) (DNA-damage checkpoint kinase TEL1) (Telomere length regulation protein 1)	TEL1 YBL088C YBL0706	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	2787	YBL0706	TEL1	YBL088C	
P47068	BBC1_YEAST	reviewed	Myosin tail region-interacting protein MTI1 (Protein BBC1)	BBC1 MTI1 YJL020C J1286 J1305 YJL021C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1157	J1286 J1305 YJL021C	BBC1	YJL020C	MTI1
P53741	BRE5_YEAST	reviewed	UBP3-associated protein BRE5 (Brefeldin-A sensitivity protein 5)	BRE5 YNR051C N3465	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	515	N3465	BRE5	YNR051C	
P32504	CBF3A_YEAST	reviewed	Centromere DNA-binding protein complex CBF3 subunit A (Centromere-binding factor 2) (Chromosome transmission fidelity protein 14) (Kinetochore protein CTF14)	CBF2 CBF3A CEP2 CTF14 NDC10 YGR140W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	956		CBF2	YGR140W	CBF3A CEP2 CTF14 NDC10
P36130	CAF4_YEAST	reviewed	CCR4-associated factor 4	CAF4 YKR036C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	643		CAF4	YKR036C	
P28495	CAPZA_YEAST	reviewed	F-actin-capping protein subunit alpha	CAP1 YKL007W YKL155	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	268	YKL155	CAP1	YKL007W	
Q03654	CEF1_YEAST	reviewed	Pre-mRNA-splicing factor CEF1 (PRP nineteen-associated complex protein 85) (PRP19-associated complex protein 85)	CEF1 NTC85 YMR213W YM8261.07	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	590	YM8261.07	CEF1	YMR213W	NTC85
P41733	CDC91_YEAST	reviewed	GPI transamidase component GAB1 (Cell division control protein 91)	GAB1 CDC91 YLR459W L9122.2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	394	L9122.2	GAB1	YLR459W	CDC91
P38843	CHS7_YEAST	reviewed	Chitin synthase export chaperone	CHS7 YHR142W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	316		CHS7	YHR142W	
Q12285	MDY2_YEAST	reviewed	Ubiquitin-like protein MDY2 (Golgi to ER traffic protein 5) (Mating-deficient protein 2) (Translation machinery-associated protein 24)	MDY2 GET5 TMA24 YOL111C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	212		MDY2	YOL111C	GET5 TMA24
Q07684	MFG1_YEAST	reviewed	Morphogenetic regulator of filamentous growth protein 1	MFG1 YDL233W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	458		MFG1	YDL233W	
Q12175	MSH5_YEAST	reviewed	MutS protein homolog 5	MSH5 YDL154W D1542	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	901	D1542	MSH5	YDL154W	
P38830	NDT80_YEAST	reviewed	Meiosis-specific transcription factor NDT80	NDT80 DAS1 YHR124W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	627		NDT80	YHR124W	DAS1
P48439	OST3_YEAST	reviewed	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 3 (Oligosaccharyl transferase 34 kDa subunit) (Oligosaccharyl transferase subunit OST3) (Oligosaccharyl transferase subunit gamma)	OST3 YOR085W YOR3124W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	350	YOR3124W	OST3	YOR085W	
Q06810	OPY2_YEAST	reviewed	Protein OPY2 (Overproduction-induced pheromone-resistant protein 2)	OPY2 YPR075C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	360		OPY2	YPR075C	
Q03050	PAU10_YEAST	reviewed	Seripauperin-10	PAU10 YDR542W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	120		PAU10	YDR542W	
P33400	PACC_YEAST	reviewed	pH-response transcription factor pacC/RIM101 (Regulator of IME2 protein 1) (pH-response regulator protein RIM101)	RIM101 RIM1 YHL027W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	625		RIM101	YHL027W	RIM1
Q03178	PIR1_YEAST	reviewed	Cell wall mannoprotein PIR1 (Covalently-linked cell wall protein 6) (Protein with internal repeats 1)	PIR1 CCW6 YKL164C YKL618	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	341	YKL618	PIR1	YKL164C	CCW6
P20133	PGTB2_YEAST	reviewed	Geranylgeranyl transferase type-2 subunit beta (EC 2.5.1.60) (Geranylgeranyl transferase type II subunit beta) (GGTase-II-beta) (Type II protein geranyl-geranyltransferase subunit beta) (PGGT) (YPT1/SEC4 proteins geranylgeranyltransferase subunit beta)	BET2 YPR176C P9705.12	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	325	P9705.12	BET2	YPR176C	
P40035	PIC2_YEAST	reviewed	Mitochondrial phosphate carrier protein 2 (Phosphate transport protein 2) (PTP 2) (Pi carrier isoform 2) (mPic 2)	PIC2 YER053C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	300		PIC2	YER053C	
P38698	PPX1_YEAST	reviewed	Exopolyphosphatase (ExopolyPase) (EC 3.6.1.11) (Metaphosphatase)	PPX1 YHR201C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	397		PPX1	YHR201C	
P39685	PO152_YEAST	reviewed	Nucleoporin POM152 (Nuclear pore protein POM152) (P150) (Pore membrane protein POM152)	POM152 YMR129W YM9553.05	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1337	YM9553.05	POM152	YMR129W	
P22141	PSB4_YEAST	reviewed	Proteasome subunit beta type-4 (EC 3.4.25.1) (Macropain subunit C11) (Multicatalytic endopeptidase complex subunit C11) (Proteasome component C11) (Proteinase YSCE subunit 11)	PRE1 YER012W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	198		PRE1	YER012W	
P36527	RM28_YEAST	reviewed	54S ribosomal protein L28, mitochondrial (Mitochondrial large ribosomal subunit protein mL40) (YmL28)	MRPL28 YDR462W D8035.6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	147	D8035.6	MRPL28	YDR462W	
P46784	RS10B_YEAST	reviewed	40S ribosomal protein S10-B (Small ribosomal subunit protein eS10-B)	RPS10B YMR230W YM9959.12	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	105	YM9959.12	RPS10B	YMR230W	
P43602	ROG3_YEAST	reviewed	Protein ROG3 (Revertant of glycogen synthase kinase mutation protein 3)	ROG3 YFR022W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	733		ROG3	YFR022W	
Q06109	RRG8_YEAST	reviewed	Required for respiratory growth protein 8, mitochondrial	RRG8 YPR116W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	277		RRG8	YPR116W	
Q3E811	RRT15_YEAST	reviewed	Regulator of rDNA transcription protein 15	RRT15 YLR162W-A smORF483	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	62	smORF483	RRT15	YLR162W-A	
P0CX51	RS16A_YEAST	reviewed	40S ribosomal protein S16-A (RP61R) (Small ribosomal subunit protein uS9-A)	RPS16A RP61R YMR143W YM9375.12	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	143	YM9375.12	RPS16A	YMR143W	RP61R
P38701	RS20_YEAST	reviewed	40S ribosomal protein S20 (Small ribosomal subunit protein uS10)	RPS20 URP2 YHL015W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	121		RPS20	YHL015W	URP2
P0CX56	RS18B_YEAST	reviewed	40S ribosomal protein S18-B (Small ribosomal subunit protein uS13-B)	RPS18B YML026C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	146		RPS18B	YML026C	
Q06639	RSC3_YEAST	reviewed	Chromatin structure-remodeling complex protein RSC3 (Remodel the structure of chromatin complex subunit 3)	RSC3 YDR303C D9740.13	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	885	D9740.13	RSC3	YDR303C	
Q03246	RT17_YEAST	reviewed	37S ribosomal protein S17, mitochondrial (Mitochondrial small ribosomal subunit protein uS17m)	MRPS17 YMR188C YM8010.18C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	237	YM8010.18C	MRPS17	YMR188C	
P10662	RT01_YEAST	reviewed	37S ribosomal protein MRP1, mitochondrial (Mitochondrial small ribosomal subunit protein mS43)	MRP1 YDR347W D9651.1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	321	D9651.1	MRP1	YDR347W	
P36123	SA190_YEAST	reviewed	SIT4-associating protein SAP190	SAP190 YKR028W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1033		SAP190	YKR028W	
Q12234	RUD3_YEAST	reviewed	GRIP domain-containing protein RUD3 (Golgin-related protein 1) (Relieves USO1-1 transport defect protein 3)	RUD3 GRP1 YOR216C YOR50-6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	484	YOR50-6	RUD3	YOR216C	GRP1
Q9ZZX1	SCE4_YEAST	reviewed	Intron-encoded DNA endonuclease aI5 alpha (DNA endonuclease I-SceIV) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI5 alpha (EC 3.1.-.-) (Intron-encoded endonuclease I-SceIV)]	AI5_ALPHA I-SCEIV Q0070	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	630		AI5_ALPHA	Q0070	I-SCEIV
P36024	SIS2_YEAST	reviewed	Phosphopantothenoylcysteine decarboxylase subunit SIS2 (Halotolerance protein HAL3) (Sit4 suppressor 2)	SIS2 HAL3 YKR072C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	562		SIS2	YKR072C	HAL3
P40561	SGN1_YEAST	reviewed	RNA-binding protein SGN1	SGN1 RBP29 YIR001C YIB1C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	250	YIB1C	SGN1	YIR001C	RBP29
P32572	SPS18_YEAST	reviewed	Sporulation protein SPS18 (Sporulation-specific protein SPX18)	SPS18 SPX18 YNL204C N1354	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	300	N1354	SPS18	YNL204C	SPX18
P23624	SPO13_YEAST	reviewed	Meiosis-specific protein SPO13 (Sporulation-specific protein 13)	SPO13 YHR014W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	291		SPO13	YHR014W	
P09937	SPS4_YEAST	reviewed	Sporulation-specific protein 4	SPS4 YOR313C O6120	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	338	O6120	SPS4	YOR313C	
P39990	SNU13_YEAST	reviewed	13 kDa ribonucleoprotein-associated protein (Small nuclear ribonucleoprotein-associated protein 1)	SNU13 YEL026W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	126		SNU13	YEL026W	
P25567	SRO9_YEAST	reviewed	RNA-binding protein SRO9 (Suppressor of RHO3 protein 9)	SRO9 YCL037C YCL37C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	434	YCL37C	SRO9	YCL037C	
Q03406	SLD5_YEAST	reviewed	DNA replication complex GINS protein SLD5	SLD5 YDR489W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	294		SLD5	YDR489W	
P23201	SPA2_YEAST	reviewed	Protein SPA2	SPA2 PEA1 YLL021W L1209	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1466	L1209	SPA2	YLL021W	PEA1
P25302	SWI4_YEAST	reviewed	Regulatory protein SWI4 (Cell-cycle box factor subunit SWI4) (Protein ART1)	SWI4 ART1 YER111C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1093		SWI4	YER111C	ART1
P25345	SYNM_YEAST	reviewed	Asparagine--tRNA ligase, mitochondrial (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)	SLM5 YCR024C YCR242 YCR24C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	492	YCR242 YCR24C	SLM5	YCR024C	
Q12109	SYWC_YEAST	reviewed	Tryptophan--tRNA ligase, cytoplasmic (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS)	WRS1 YOL097C HRE432	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	432	HRE432	WRS1	YOL097C	
P32802	TMN1_YEAST	reviewed	Transmembrane 9 superfamily member 1 (70 kDa endomembrane protein) (Endomembrane protein EMP70) [Cleaved into: Protein p24a (Acidic 24 kDa late endocytic intermediate component)]	EMP70 TMN1 YLR083C L2385 L9449.11	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	667	L2385 L9449.11	EMP70	YLR083C	TMN1
P53552	THO2_YEAST	reviewed	THO complex subunit 2 (Low dye-binding protein 5) (THO complex subunit RLR1) (Zinc-regulated gene 13 protein)	THO2 LDB5 RLR1 ZRG13 YNL139C N1209 N1835	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1597	N1209 N1835	THO2	YNL139C	LDB5 RLR1 ZRG13
Q03796	TPP1_YEAST	reviewed	Polynucleotide 3'-phosphatase (EC 3.1.3.32) (2'(3')-polynucleotidase) (DNA 3'-phosphatase) (Three prime phosphatase)	TPP1 YMR156C YM8520.05C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	238	YM8520.05C	TPP1	YMR156C	
Q05166	NUP59_YEAST	reviewed	Nucleoporin ASM4 (Nuclear pore protein NUP59)	ASM4 NUP59 YDL088C D2420	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	528	D2420	ASM4	YDL088C	NUP59
Q08952	OXR1_YEAST	reviewed	Oxidation resistance protein 1	OXR1 YPL196W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	273		OXR1	YPL196W	
P43611	OSW7_YEAST	reviewed	Outer spore wall protein 7	OSW7 YFR039C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	510		OSW7	YFR039C	
P38747	OTU2_YEAST	reviewed	OTU domain-containing protein 2	OTU2 YHL013C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	307		OTU2	YHL013C	
P0CE90	PAU6_YEAST	reviewed	Seripauperin-6	PAU6 YNR076W N3825	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	120	N3825	PAU6	YNR076W	
Q12033	PALA_YEAST	reviewed	pH-response regulator protein palA/RIM20 (Regulator of IME2 protein 20)	RIM20 YOR275C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	661		RIM20	YOR275C	
P53261	PESC_YEAST	reviewed	Pescadillo homolog (Nucleolar protein 7) (Ribosomal RNA-processing protein 13)	NOP7 RRP13 YPH1 YGR103W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	605		NOP7	YGR103W	RRP13 YPH1
P39081	PCF11_YEAST	reviewed	Protein PCF11 (protein 1 of CF I)	PCF11 YDR228C YD9934.13C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	626	YD9934.13C	PCF11	YDR228C	
P0CE85	PAU19_YEAST	reviewed	Seripauperin-19	PAU19 YMR325W YM9924.17	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	124	YM9924.17	PAU19	YMR325W	
P53248	PEX8_YEAST	reviewed	Peroxisomal biogenesis factor 8 (Peroxin-8) (Peroxisomal protein PAS6)	PEX8 PAS6 YGR077C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	589		PEX8	YGR077C	PAS6
P38193	PP4R2_YEAST	reviewed	Serine/threonine-protein phosphatase 4 regulatory subunit 2 (PP4R2)	PSY4 HTP3 YBL046W YBL0402	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	441	YBL0402	PSY4	YBL046W	HTP3
P40164	PP4R3_YEAST	reviewed	Serine/threonine-protein phosphatase 4 regulatory subunit 3 (PP4R3)	PSY2 YNL201C N1366	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	858	N1366	PSY2	YNL201C	
P20053	PRP4_YEAST	reviewed	U4/U6 small nuclear ribonucleoprotein PRP4 (Pre-mRNA-processing protein 4)	PRP4 RNA4 YPR178W P9705.6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	465	P9705.6	PRP4	YPR178W	RNA4
P38958	PT100_YEAST	reviewed	Protein PET100, mitochondrial	PET100 YDR079W D4441	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	111	D4441	PET100	YDR079W	
P25635	PWP2_YEAST	reviewed	Periodic tryptophan protein 2 (U three protein 1) (U3 small nucleolar RNA-associated protein 1) (U3 snoRNA-associated protein 1)	PWP2 UTP1 YCR057C YCR55C/YCR57C/YCR58C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	923	YCR55C/YCR57C/YCR58C	PWP2	YCR057C	UTP1
Q12221	PUF2_YEAST	reviewed	mRNA-binding protein PUF2 (Pumilio homology domain family member 2)	PUF2 YPR042C YP3085.06c YP9499.01	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1075	YP3085.06c YP9499.01	PUF2	YPR042C	
Q07807	PUF3_YEAST	reviewed	mRNA-binding protein PUF3 (Pumilio homology domain family member 3)	PUF3 YLL013C L1325	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	879	L1325	PUF3	YLL013C	
Q12021	RAD28_YEAST	reviewed	Radiation-sensitive protein 28	RAD28 YDR030C YD9813.08c	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	506	YD9813.08c	RAD28	YDR030C	
P43122	QRI7_YEAST	reviewed	tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein QRI7) (tRNA threonylcarbamoyladenosine biosynthesis protein QRI7)	QRI7 YDL104C D2366	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	407	D2366	QRI7	YDL104C	
P48581	RAD17_YEAST	reviewed	DNA damage checkpoint control protein RAD17 (DNA repair exonuclease RAD17)	RAD17 YOR368W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	401		RAD17	YOR368W	
P42073	REF2_YEAST	reviewed	RNA end formation protein 2	REF2 YDR195W YD9346.06	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	533	YD9346.06	REF2	YDR195W	
P35196	RER2_YEAST	reviewed	Dehydrodolichyl diphosphate synthase complex subunit RER2 (DEDOL-PP synthase) (EC 2.5.1.87) (Ditrans,polycis-polyprenyl diphosphate synthase ((2E,6E)-farnesyl diphosphate specific))	RER2 YBR002C YBR0107	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	286	YBR0107	RER2	YBR002C	
